Nombre Propiedad,Precio,Dormitorios,Baños,Metros Cuadrados,Dirección
Morandé Sur,$270.000,1 dormitorio,1 baño,22 a 39 m² útiles,"Morandé 776, Centro Histórico De S..."
Edificio Av. Manuel Rodríguez (1 Est.) Vista Norte Piso 24,$430.000,2 dormitorios,2 baños,51 m² útiles,"Av. Manuel Rodríguez 881, Centro H..."
Edificio Tucapel Jimenez (1 Bod.) Vista Norte Piso 13,$310.000,1 dormitorio,1 baño,32 m² útiles,"Tucapel Jimenez 136, Centro Histór..."
"Buen Precio, Buena Localización, Buenos Espacios",$430.000,2 dormitorios,2 baños,52 m² útiles,"Hermanos Amunátegui 600 - 900, San..."
2 Dorm + 2 Baños + Terraza Tipo Mariposa. Rosas 1444 Nuevo.,$392.000,2 dormitorios,2 baños,51 m² útiles,"Rosas 1438, Santiago, Centro Histó..."
Amplio Departamento En Santiago Centro,$410.000,2 dormitorios,1 baño,55 m² útiles,"San Pablo 1391, Depto 1800 - 2100,..."
"Depto 1b 1d, Con Vistas Despejada, Santa Ana, Santiago",$315.000,1 dormitorio,1 baño,34 m² útiles,"Rosas 1444, Centro Histórico De Sa..."
Departamento En Arriendo De 1 Dorm. En Santiago,$360.000,1 dormitorio,1 baño,50 m² útiles,Catedral Con Teatinos | 1 Dormitor...
Departamento San Martín Id: 36654,$525.000,2 dormitorios,2 baños,60 m² útiles,"San Martín, Centro Histórico De Sa..."
Departamento Máximo Humbser Id: 92334,$189.000,1 dormitorio,1 baño,21 m² útiles,"Máximo Humbser, Centro Histórico D..."
Edificio Av. Manuel Rodríguez Vista Poniente Piso 6,$300.000,1 dormitorio,1 baño,26 m² útiles,"Av. Manuel Rodríguez 881, Centro H..."
Edificio General Mackenna Vista Norte Piso 10,$330.000,1 dormitorio,1 baño,29 m² útiles,"General Mackenna 1490, Centro Hist..."
"Morandé 924 - Departamento 2d2b(4c), Santiago",$410.631,2 dormitorios,2 baños,48 m² útiles,"Morandé 924, Centro Histórico De S..."
Huerfanos Esquina Hmos Amunategui,$390.000,2 dormitorios,2 baños,50 m² útiles,"Huérfanos 1373, Centro Histórico D..."
Se Arrienda Dpto Para Uso Comercial,UF18,2 dormitorios,1 baño,80 m² útiles,"Enrique Mac Iver 180, Centro Histó..."
Practico / A Pasos De Metro Santa Ana Y Puente Cal Y Canto,$250.000,1 baño,30 m² útiles,No disponible,"San Martín 841, Centro Histórico D..."
Depto. 2d + 2b En Santiago [id: W7049],$495.000,2 dormitorios,2 baños,50 m² útiles,"Morandé 580, Centro Histórico De S..."
Arriendo Departamento 1dy1b Con Balcón,$340.000,1 dormitorio,1 baño,37 m² útiles,"San Martín 831, Santiago, Chile, C..."
Departamento Estudio Y 1d1b (50% Descuento 2 Meses),$265.000,1 dormitorio,1 baño,17 m² útiles,"San Martín 831, Santiago, Chile, C..."
"Departamento (u Oficina) A Pasos De La Moneda,",$360.000,3 dormitorios,1 baño,63 m² útiles,"Teatinos 251, Centro Histórico De ..."
"Amplísimo Depto 2d 2b E B, Metro Santa Ana. 2 Cdra Autopista",$490.000,2 dormitorios,2 baños,60 m² útiles,"San Martín 841, Centro Histórico D..."
Departamento Metro Bellas Artes,$550.000,2 dormitorios,2 baños,55 m² útiles,"Santo Domingo 673, Santiago, Chile..."
,$270.000,1 dormitorio,1 baño,40 m² útiles,Depto Studio En Merced Esquina Mac...
Arriendo Amoblado Calle Bandera,$385.000,2 dormitorios,2 baños,43 m² útiles,"Bandera 898, Centro Histórico De S..."
"Cerca Metro 3 Dormitorios, 2 Baños, Estacionamiento, Bodega",$480.000,3 dormitorios,2 baños,65 m² útiles,"Santo Domingo 600 - 900, Centro Hi..."
Centro De Santiago Depto. 2d + Estac. Y Bodega,$500.000,2 dormitorios,2 baños,48 m² útiles,"Huérfanos 1400, Santiago, Chile, C..."
Oferta Recién Refaccionado Amplio Departamento,$320.000,2 dormitorios,1 baño,51 m² útiles,"San Pablo 1200 - 1500, Centro Hist..."
,$390.000,2 dormitorios,2 baños,49 m² útiles,"Metro De Santa Ana, Centro Históri..."
,$390.000,2 dormitorios,1 baño,43 m² útiles,"Metro Santa Ana, Centro Histórico ..."
Estupenda Ubicación Barrio Las Tarrias,$310.000,1 dormitorio,1 baño,34 m² útiles,"Merced 516, 8320148 Santiago, Regi..."
