Nombre Propiedad,Precio,Dormitorios,Baños,Metros Cuadrados,Dirección
Edificio Lia Aguirre,$260.000,1 dormitorio,1 baño,16 a 35 m² útiles,"Lía Aguirre 95, Plaza Vespucio, La..."
Activa Vicuña Mackenna Poniente,$360.000,1 a 2 dormitorios,1 baño,32 a 45 m² útiles,"Av. Vicuña Mackenna Pte. 6315, Met..."
Torres de Vicuña Mackenna,$290.000,1 a 2 dormitorios,1 a 2 baños,22 a 46 m² útiles,"Av. Vicuña Mackenna Pte. 6456, Met..."
Casa el Roble,$290.000,1 a 2 dormitorios,1 a 2 baños,25 a 48 m² útiles,"Paso El Roble 139, Plaza Vespucio,..."
Vicuña Urban,$350.000,1 a 2 dormitorios,1 baño,28 a 42 m² útiles,"Av. Vicuña Mackenna Pte. 6650, Pla..."
Lofty,$290.000,1 a 2 dormitorios,1 a 2 baños,26 a 56 m² útiles,"Av. Vicuña Mackenna Ote. 6711, Pla..."
Mirador Azul,$339.000,1 a 2 dormitorios,1 baño,34 a 51 m² útiles,"Av. Vicuña Mackenna Poniente 6239,..."
Departamento Froilán Roa Id: 141941,$400.000,1 dormitorio,1 baño,32 m² útiles,"Froilán Roa, La Florida"
Departamento Calle Pudeto Id: 134851,$510.000,2 dormitorios,1 baño,45 m² útiles,"Calle Pudeto, Plaza Vespucio, La F..."
Departamento Avenida Vicuña Mackenna Poniente Id: 141618,$440.000,2 dormitorios,2 baños,63 m² útiles,"Avenida Vicuña Mackenna Poniente, ..."
Departamento La Concepción Id: 140841,$340.000,1 dormitorio,1 baño,36 m² útiles,"La Concepción, Vicente Valdés, La ..."
Departamento Avenida Vicuña Mackenna Poniente Id: 117617,$480.000,2 dormitorios,2 baños,55 m² útiles,"Avenida Vicuña Mackenna Poniente, ..."
Departamento Avenida Departamental Id: 108233,$480.000,2 dormitorios,2 baños,50 m² útiles,"Avenida Departamental, Plaza Vespu..."
Departamento Colombia Id: 141336,$380.000,1 dormitorio,1 baño,36 m² útiles,"Colombia, Vicente Valdés, La Flori..."
Departamento Colombia Id: 99071,$390.000,1 dormitorio,1 baño,35 m² útiles,"Colombia, Vicente Valdés, La Flori..."
Departamento Calle Dos Id: 105396,$290.000,1 dormitorio,1 baño,33 m² útiles,"Calle Dos, Trinidad, La Florida"
Departamento Uruguay Id: 141362,$400.000,1 dormitorio,1 baño,39 m² útiles,"Uruguay, Rojas Magallanes, La Flor..."
Departamento Walker Martínez Id: 136592,$337.500,2 dormitorios,1 baño,58 m² útiles,"Walker Martínez, Vicente Valdés, L..."
Departamento Avenida Diego Portales Id: 140985,$550.000,3 dormitorios,2 baños,58 m² útiles,"Avenida Diego Portales, Los Quilla..."
Departamento Froilán Roa Id: 135345,$252.000,1 dormitorio,1 baño,30 m² útiles,"Froilán Roa, La Florida"
Departamento Colombia Id: 140071,$450.000,2 dormitorios,2 baños,48 m² útiles,"Colombia, Vicente Valdés, La Flori..."
Departamento Lago Pirihueico Id: 137815,$320.000,1 dormitorio,1 baño,31 m² útiles,"Lago Pirihueico, Plaza Vespucio, L..."
Departamento Juan De Pineda Id: 94828,$480.000,3 dormitorios,1 baño,65 m² útiles,"Juan De Pineda, Vicente Valdés, La..."
Departamento Lia Aguirre Id: 125934,$175.000,1 dormitorio,1 baño,32 m² útiles,"Lia Aguirre, Plaza Vespucio, La Fl..."
Edificio Lia Aguirre Vista Nororiente Piso 7,$300.000,1 dormitorio,1 baño,31 m² útiles,"Lia Aguirre 95, Plaza Vespucio, La..."
Edificio Av. Vicuña Mackenna Pte. Piso 12,$310.000,1 dormitorio,1 baño,36 m² útiles,"Av. Vicuña Mackenna Pte. 7189, Pla..."
Edificio Lia Aguirre (1 Est. 1 Bod.) Vista Oriente Piso 10,$475.000,2 dormitorios,2 baños,46 m² útiles,"Lia Aguirre 155, Plaza Vespucio, L..."
Edificio Lia Aguirre Vista Sur Piso 3,$250.000,1 dormitorio,1 baño,16 m² útiles,"Lia Aguirre 95, Plaza Vespucio, La..."
Edificio Lia Aguirre Vista Poniente Piso 11,$320.000,1 dormitorio,1 baño,31 m² útiles,"Lia Aguirre 155, Plaza Vespucio, L..."
Edificio Lia Aguirre Vista Oriente Piso 14,$320.000,1 dormitorio,1 baño,30 m² útiles,"Lia Aguirre 155, Plaza Vespucio, L..."
Edificio Av. Diego Portales (1 Est.) Vista Suroriente Piso,$450.000,3 dormitorios,1 baño,51 m² útiles,"Av. Diego Portales 1016, Los Quill..."
"(adm) 1 Hab + 1 B, Terraza. Metro Macul (50% Dcto 2 Meses)",$290.000,1 dormitorio,1 baño,40 m² útiles,"Lago Pirihueico 6300 - 6600, Plaza..."
