Nombre Propiedad,Precio,Dormitorios,Baños,Metros Cuadrados,Dirección
Somma Parque Bustamante - Metro Irarrázaval Ñuñoa,$511.999,1 a 2 dormitorios,1 a 2 baños,33 a 55 m² útiles,"San Eugenio 401, Parque San Eugeni..."
Exequiel Fernández 2000,$565.000,2 dormitorios,2 baños,52 m² útiles,"Exequiel Fernández 2000, Estadio N..."
INSITU Irarrázaval,$477.279,2 dormitorios,1 a 2 baños,23 a 59 m² útiles,"Avenida Irarrázaval 2100 - 2400, M..."
Arriendo Depto a pasos del Metro Chile-España en Ñuñoa,$500.700,1 a 2 dormitorios,1 a 2 baños,34 a 52 m² útiles,"Av. Irarrázaval 2899, Plaza Ñuñoa,..."
Edificio Seminario,UF9,1 a 3 dormitorios,1 a 2 baños,25 a 101 m² útiles,"Tucapel 261, Metro Irarrázaval, Ñu..."
Edificio Francisco Meneses (1 Est. 1 Bod.) Vista Norte Piso,$430.000,1 dormitorio,1 baño,33 m² útiles,"Francisco Meneses 1580, Estadio Na..."
Edificio Gral. José Artigas Vista Surponiente Piso 2,$690.000,2 dormitorios,2 baños,58 m² útiles,"Gral. José Artigas 3082, Plaza Ñuñ..."
"Metro Mons. Eyzaguirre 2d1b, Ñuñoa",$550.000,2 dormitorios,1 baño,75 m² útiles,"José Domingo Cañas 1500 - 1800, Me..."
,$550.000,1 dormitorio,1 baño,48 m² útiles,Se Arrienda  Depto Amoblado/ Ñuñoa...
Ñuñoa! Departamento 1d/1b Con Est Y Bog En Zañartu,$195.000,1 dormitorio,1 baño,36 m² útiles,"Zañartu 1111, Ñuñoa, Chile, Estadi..."
Ñuñoa Departamento 2d2b Con Estac Y Bodega. En Zañartu!,$250.000,2 dormitorios,2 baños,47 m² útiles,"Zañartu 1111, Estadio Nacional, Ñu..."
Arriendo Excelente Departamento En Ñuñoa,$800.000,3 dormitorios,2 baños,65 m² útiles,"Suárez Mujica 300 - 600, Parque Sa..."
Edificio Francisco Meneses (1 Est. 1 Bod.) Vista Norte Piso,$430.000,1 dormitorio,1 baño,33 m² útiles,"Francisco Meneses 1580, Estadio Na..."
Edificio Zañartu (1 Est. 1 Bod.) Vista Surponiente Piso 17,$505.000,2 dormitorios,2 baños,50 m² útiles,"Zañartu 980, Estadio Nacional, Ñuñ..."
