Nombre Propiedad,Precio,Dormitorios,Baños,Metros Cuadrados,Dirección
SOMMA INÉS DE SUÁREZ,$680.520,1 a 2 dormitorios,1 a 2 baños,36 a 88 m² útiles,Avenida Pedro De Valdivia 2100 - 2...
Somma Asturias - Edifiio Multifamily,$977.760,1 a 2 dormitorios,1 a 2 baños,43 a 55 m² útiles,"Asturias 77, Metro Escuela Militar..."
Vida Central,$275.000,1 a 2 dormitorios,1 a 2 baños,32 a 45 m² útiles,"Coronel Souper 4222, San Alberto H..."
Activa Bezanilla,$380.000,1 a 2 dormitorios,1 a 2 baños,35 a 56 m² útiles,"Pje. Nueva Maruri 1833, Hospitales..."
Mirador José Ureta,$270.000,1 a 2 dormitorios,1 a 2 baños,30 a 41 m² útiles,"José Ureta 139, Lo Ovalle, La Cist..."
Portugal,$494.000,2 dormitorios,2 baños,51 m² útiles,"Av. Portugal 676, Barrio Diez De J..."
Amengual,$250.000,1 a 2 dormitorios,1 a 2 baños,26 a 47 m² útiles,"General Amengual 102, San Alberto ..."
Alto Conde,$215.000,1 a 2 dormitorios,1 a 2 baños,20 a 46 m² útiles,"Conde Del Maule 4160, San Alberto ..."
Plaza Conde del Maule,$240.000,1 dormitorio,1 baño,24 a 33 m² útiles,"Conde Del Maule 4631, Metro Ecuado..."
Echaurren,$315.000,1 a 2 dormitorios,1 a 2 baños,31 a 60 m² útiles,"Echaurren 40, Barrio República, Sa..."
Los Almendros,$810.000,3 dormitorios,2 baños,88 m² útiles,"La Rinconada 291, Bosques De La Pi..."
Alma Hipódromo,$390.000,2 dormitorios,2 baños,45 m² útiles,"Hipódromo Chile 1631, Plaza Chacab..."
Concon,$255.000,1 a 2 dormitorios,1 a 2 baños,31 a 44 m² útiles,"Coronel Souper 4400, San Alberto H..."
Edificio Lia Aguirre,$260.000,1 dormitorio,1 baño,16 a 35 m² útiles,"Lía Aguirre 95, Plaza Vespucio, La..."
Activa Vicuña Mackenna Poniente,$360.000,1 a 2 dormitorios,1 baño,32 a 45 m² útiles,"Av. Vicuña Mackenna Pte. 6315, Met..."
Torres de Vicuña Mackenna,$290.000,1 a 2 dormitorios,1 a 2 baños,22 a 46 m² útiles,"Av. Vicuña Mackenna Pte. 6456, Met..."
Departamento nuevo a estrenar,$345.000,1 a 2 dormitorios,1 a 2 baños,32 a 60 m² útiles,"Santo Domingo 1669, Barrio Brasil,..."
Casa el Roble,$290.000,1 a 2 dormitorios,1 a 2 baños,25 a 48 m² útiles,"Paso El Roble 139, Plaza Vespucio,..."
Matucana,$280.000,1 dormitorio,1 baño,29 a 40 m² útiles,"Avenida Matucana 31, Barrio Yungay..."
Mirador Santiago,$279.000,1 dormitorio,1 baño,20 a 30 m² útiles,"Av. Ejército Libertador 50, Ejérci..."
Carrera Capital,$295.000,1 dormitorio,1 baño,26 a 31 m² útiles,"José Miguel Carrera 68, Ejército -..."
Barrio Universitario Home Inclusive Ejército Multifamily,$290.000,1 a 2 dormitorios,1 a 2 baños,25 a 52 m² útiles,"Avenida Ejército Libertador 75, Ej..."
Edificio Claudio Gay,$292.000,1 a 2 dormitorios,1 a 2 baños,30 a 54 m² útiles,"Claudio Gay 2547, Barrio República..."
Vicuña Urban,$350.000,1 a 2 dormitorios,1 baño,28 a 42 m² útiles,"Av. Vicuña Mackenna Pte. 6650, Pla..."
Romero,$290.000,1 dormitorio,1 baño,22 a 34 m² útiles,"Romero 2349, Barrio Yungay, Santia..."
Ciudadano Echaurren,$470.000,2 dormitorios,2 baños,55 m² útiles,"Echaurren 118, Barrio República, S..."
Augusto Leguía,$815.000,1 a 2 dormitorios,1 a 2 baños,46 a 75 m² útiles,"Augusto Leguía Nte. 70, Barrio El ..."
Vespucio Switch,$900.000,1 a 2 dormitorios,1 a 2 baños,44 a 71 m² útiles,"Av. Américo Vespucio Sur 345, Metr..."
Somma Parque Bustamante - Metro Irarrázaval Ñuñoa,$511.999,1 a 2 dormitorios,1 a 2 baños,33 a 55 m² útiles,"San Eugenio 401, Parque San Eugeni..."
Morandé Sur,$270.000,1 dormitorio,1 baño,22 a 39 m² útiles,"Morandé 776, Centro Histórico De S..."
Alameda Park,$250.000,1 a 3 dormitorios,1 a 2 baños,31 a 67 m² útiles,Av. Libertador Bernardo O'higgins ...
Plaza Central,$210.000,1 a 2 dormitorios,1 baño,19 a 47 m² útiles,"Av. Ecuador 4626, Metro Ecuador, E..."
Activa Cerro Blanco,$475.000,2 a 3 dormitorios,2 a 3 baños,51 a 76 m² útiles,"Dr. Raimundo Charlin 655, Cerro Bl..."
Vicuña Capital,$330.000,1 a 2 dormitorios,1 a 2 baños,27 a 50 m² útiles,"Av. Vicuña Mackenna 1441, Bogotá -..."
Lofty,$290.000,1 a 2 dormitorios,1 a 2 baños,26 a 56 m² útiles,"Av. Vicuña Mackenna Ote. 6711, Pla..."
Exequiel Fernández 2000,$565.000,2 dormitorios,2 baños,52 m² útiles,"Exequiel Fernández 2000, Estadio N..."
Mirador Azul,$339.000,1 a 2 dormitorios,1 baño,34 a 51 m² útiles,"Av. Vicuña Mackenna Poniente 6239,..."
INSITU Irarrázaval,$477.279,2 dormitorios,1 a 2 baños,23 a 59 m² útiles,"Avenida Irarrázaval 2100 - 2400, M..."
Home Inclusive Carmen,$257.302,1 a 2 dormitorios,1 a 2 baños,24 a 58 m² útiles,"Carmen 668, Santiago, Barrio Diez ..."
Barrio Teresa Vial,$340.000,1 a 2 dormitorios,1 baño,35 a 52 m² útiles,"Teresa Vial 1175, San Miguel, Lo V..."
Nuevo Home Inclusive Ecuador,$217.800,1 a 2 dormitorios,1 a 2 baños,19 a 51 m² útiles,"Gral. Amengual 148, Metro Ecuador,..."
Home Inclusive Ecuador,$217.655,1 a 2 dormitorios,1 a 2 baños,19 a 50 m² útiles,"Gral. Amengual 0148, Metro Ecuador..."
Home Inclusive Independencia,$258.965,1 a 2 dormitorios,1 a 2 baños,22 a 51 m² útiles,"Escanilla 1035, Hospitales, Indepe..."
INSITU Echaurren,$329.353,2 dormitorios,1 a 2 baños,22 a 62 m² útiles,"Gorbea 2159, Santiago, Chile, Barr..."
Edificio Altavista,$270.000,1 a 2 dormitorios,1 a 2 baños,26 a 49 m² útiles,"Rivas 581, Rodrigo De Araya, San J..."
Ronda Lo Ovalle - La Cisterna,$290.000,1 a 3 dormitorios,1 a 2 baños,34 a 65 m² útiles,"Jorge Cáceres 116, La Cisterna, Ch..."
Promoción Lanzamiento Home Inclusive Carmen Multifamily,$257.302,1 a 2 dormitorios,1 a 2 baños,24 a 58 m² útiles,"Carmen 668, Barrio Diez De Julio, ..."
PROMOCIÓN LANZAMIENTO. Departamentos Nuevos Independencia,$269.025,1 a 2 dormitorios,1 a 2 baños,23 a 46 m² útiles,"Escanilla 900 - 1200, Hospitales, ..."
Edificio Inglaterra,$300.000,1 a 2 dormitorios,1 a 2 baños,34 a 60 m² útiles,"Av. Inglaterra 1261, Hospitales, I..."
Edificio Argomedo,$285.000,1 a 2 dormitorios,1 a 2 baños,20 a 54 m² útiles,"General Urriola 624, Santa Isabel,..."
Arriendo Depto a pasos del Metro Chile-España en Ñuñoa,$500.700,1 a 2 dormitorios,1 a 2 baños,34 a 52 m² útiles,"Av. Irarrázaval 2899, Plaza Ñuñoa,..."
Edificio Seminario,UF9,1 a 3 dormitorios,1 a 2 baños,25 a 101 m² útiles,"Tucapel 261, Metro Irarrázaval, Ñu..."
